Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,3.556786,3.583929,3.519643,3.552500,3.054805,532523600
2007-05-02,3.558929,3.590714,3.552500,3.585357,3.083059,505145200
2007-05-03,3.597500,3.623214,3.571786,3.585714,3.083365,576077600
2007-05-04,3.600000,3.628571,3.589286,3.600357,3.095957,381987200
2007-05-07,3.610000,3.726786,3.607500,3.711429,3.191468,861557200
2007-05-08,3.695357,3.755357,3.693571,3.752143,3.226478,783997200
2007-05-09,3.746786,3.820000,3.746071,3.817143,3.282372,717757600
2007-05-10,3.808214,3.887143,3.782857,3.833571,3.296499,1197257600
2007-05-11,3.847857,3.897500,3.813571,3.883571,3.339493,653696400
2007-05-14,3.915000,3.928571,3.866071,3.905714,3.358535,651946400
2007-05-15,3.913214,3.935714,3.802857,3.840000,3.302027,954514400
2007-05-16,3.876071,3.886786,3.693571,3.833571,3.296499,1126767600
2007-05-17,3.826786,3.923929,3.826786,3.908571,3.360992,735291200
2007-05-18,3.936786,3.951429,3.920357,3.929286,3.378804,621345200
2007-05-21,3.939643,4.016071,3.930357,3.999286,3.438997,639892400
2007-05-22,4.017500,4.062500,4.000357,4.055000,3.486907,572409600
2007-05-23,4.072143,4.107143,4.021071,4.031786,3.466944,911374800
2007-05-24,4.028929,4.087857,3.941786,3.953214,3.399380,887362000
2007-05-25,4.000000,4.063571,3.982143,4.057857,3.489363,632959600
2007-05-29,4.087500,4.102143,4.024643,4.083929,3.511782,645694000
2007-05-30,4.082143,4.245714,4.054643,4.241786,3.647524,1478444800
2007-05-31,4.288214,4.363214,4.269286,4.328214,3.721843,1297066400
2007-06-01,4.325000,4.328214,4.224643,4.228571,3.636160,885262000
2007-06-04,4.236786,4.347500,4.210714,4.333214,3.726143,886673200
2007-06-05,4.336071,4.381786,4.303571,4.381071,3.767297,920785600
2007-06-06,4.367857,4.430357,4.355357,4.415714,3.797084,1112241200
2007-06-07,4.463929,4.557500,4.399643,4.431071,3.810290,1915079600
2007-06-08,4.493571,4.493929,4.367500,4.446071,3.823190,1241682400
2007-06-11,4.500000,4.505357,4.269286,4.292500,3.691133,1874258400
2007-06-12,4.262500,4.346786,4.225357,4.299286,3.696968,1426566400
2007-06-13,4.326786,4.328214,4.121429,4.196429,3.608521,1721353200
2007-06-14,4.185714,4.266071,4.157857,4.241071,3.646909,973266000
2007-06-15,4.307857,4.309643,4.280714,4.303571,3.700652,811218800
2007-06-18,4.402857,4.470714,4.376429,4.467500,3.841617,910604800
2007-06-19,4.453214,4.464643,4.389643,4.416429,3.797699,943026000
2007-06-20,4.423929,4.452143,4.339286,4.341071,3.732900,897512000
2007-06-21,4.346429,4.438929,4.311429,4.425000,3.805069,867045200
2007-06-22,4.423214,4.444643,4.370714,4.392857,3.777430,631876000
2007-06-25,4.435357,4.467500,4.323571,4.369286,3.757163,965403600
2007-06-26,4.427857,4.428571,4.240000,4.273214,3.674548,1345005200
2007-06-27,4.307500,4.358571,4.259286,4.353214,3.743341,974696800
2007-06-28,4.370000,4.374643,4.285714,4.305714,3.702497,838143600
2007-06-29,4.356071,4.428571,4.324643,4.358571,3.747947,1137841600
2007-07-02,4.323214,4.360357,4.260714,4.330714,3.723993,994862400
2007-07-03,4.357143,4.550000,4.339286,4.541786,3.905495,1162481600
2007-07-05,4.600000,4.748929,4.596071,4.741071,4.076860,1453051600
2007-07-06,4.754643,4.762143,4.657143,4.725000,4.063042,874694800
2007-07-09,4.727857,4.746429,4.613571,4.654643,4.002540,995820000
2007-07-10,4.602857,4.803571,4.600357,4.726786,4.064576,1255007600
2007-07-11,4.716786,4.775000,4.689643,4.728214,4.065805,821772000
2007-07-12,4.780357,4.794286,4.728214,4.788214,4.117399,704608800
2007-07-13,4.822500,4.923214,4.804286,4.918929,4.229801,907606000
2007-07-16,4.942500,4.999286,4.910714,4.932143,4.241164,936112800
2007-07-17,4.939286,4.985714,4.910714,4.961071,4.266039,709959600
2007-07-18,4.935357,4.944286,4.858571,4.932857,4.241777,756856800
2007-07-19,5.010714,5.028929,4.987500,5.000000,4.299514,732891600
2007-07-20,5.058929,5.149286,5.000000,5.133929,4.414682,1167773600
2007-07-23,5.118214,5.186429,5.033214,5.132143,4.413144,1036490000
2007-07-24,4.960000,5.035714,4.791071,4.817500,4.142582,1795292800
2007-07-25,4.905357,4.941429,4.821429,4.902143,4.215366,1496182800
2007-07-26,5.211071,5.303571,4.891429,5.214286,4.483779,2186629200
2007-07-27,5.221071,5.318571,5.135000,5.137500,4.417749,1161098400
2007-07-30,5.154643,5.194643,4.984643,5.051071,4.343430,1106988400
