Date,Open,Low,Close,Adj,Close,Volume
2008-08-01,11379.89,11425.73,11267.05,11326.32,11326.32,189700000
2008-08-04,11326.32,11382.17,11221.53,11284.15,11284.15,170250000
2008-08-05,11286.02,11615.93,11286.02,11615.77,11615.77,234990000
2008-08-06,11603.64,11685.46,11521.32,11656.07,11656.07,180060000
2008-08-07,11655.42,11655.58,11416.7,11431.43,11431.43,229610000
2008-08-08,11432.09,11759.96,11388.04,11734.32,11734.32,212830000
2008-08-11,11729.67,11867.11,11675.53,11782.35,11782.35,183190000
2008-08-12,11781.7,11782.35,11601.52,11642.47,11642.47,173590000
2008-08-13,11632.81,11633.78,11453.34,11532.96,11532.96,182550000
2008-08-14,11532.07,11718.28,11450.89,11615.93,11615.93,159790000
2008-08-15,11611.21,11709.89,11599.73,11659.9,11659.9,215040000
2008-08-18,11659.65,11690.43,11434.12,11479.39,11479.39,156290000
2008-08-19,11478.09,11478.17,11318.5,11348.55,11348.55,171580000
2008-08-20,11345.94,11454.15,11290.58,11417.43,11417.43,144880000
2008-08-21,11415.23,11476.21,11315.57,11430.21,11430.21,130020000
2008-08-22,11426.79,11632.13,11426.79,11628.06,11628.06,138790000
2008-08-25,11626.19,11626.27,11362.63,11386.25,11386.25,148610000
2008-08-26,11383.56,11436.24,11340.41,11412.87,11412.87,119800000
2008-08-27,11412.46,11554.46,11381.77,11502.51,11502.51,120580000
2008-08-28,11499.87,11715.18,11499.79,11715.18,11715.18,149150000
2008-08-29,11713.23,11713.23,11543.39,11543.96,11543.96,166910000
2008-09-02,11545.63,11790.17,11471.9,11516.92,11516.92,177090000
2008-09-03,11506.01,11554.38,11416.53,11532.88,11532.88,174250000
2008-09-04,11532.48,11532.48,11176.02,11188.23,11188.23,229200000
2008-09-05,11185.63,11245.15,11037.85,11220.96,11220.96,198300000
2008-09-08,11224.87,11570.66,11224.79,11510.74,11510.74,273000000
2008-09-09,11514.73,11577.5,11230.73,11230.73,11230.73,257300000
2008-09-10,11233.91,11380.63,11215.26,11268.92,11268.92,214260000
2008-09-11,11264.44,11445.68,11098.67,11433.71,11433.71,247820000
2008-09-12,11429.32,11459.93,11280.4,11421.99,11421.99,238890000
2008-09-15,11416.37,11416.45,10917.51,10917.51,10917.51,432970000
2008-09-16,10905.62,11093.22,10742.7,11059.02,11059.02,494760000
2008-09-17,11056.58,11057.31,10595.9,10609.66,10609.66,463200000
2008-09-18,10609.01,11076.44,10459.44,11019.69,11019.69,488060000
2008-09-19,11027.51,11483.05,11026.7,11388.44,11388.44,655110000
2008-09-22,11394.42,11394.58,10992.2,11015.69,11015.69,213210000
2008-09-23,11015.69,11143.21,10833.94,10854.17,10854.17,204480000
2008-09-24,10850.02,10928.4,10753.57,10825.17,10825.17,183630000
2008-09-25,10827.17,11129.19,10827.01,11022.06,11022.06,218530000
2008-09-26,11019.04,11168.06,10868.82,11143.13,11143.13,232560000
2008-09-29,11139.62,11139.94,10365.45,10365.45,10365.45,385940000
2008-09-30,10371.58,10868.9,10371.42,10850.66,10850.66,319770000
2008-10-01,10847.4,10882.52,10631.95,10831.07,10831.07,256670000
2008-10-02,10825.54,10825.54,10439.52,10482.85,10482.85,395330000
2008-10-03,10483.96,10796.26,10310.25,10325.38,10325.38,299690000
2008-10-06,10322.52,10322.76,9525.32,9955.5,9955.5,391460000
2008-10-07,9955.42,10124.03,9436.67,9447.11,9447.11,362520000
2008-10-08,9437.23,9628.07,9194.78,9258.1,9258.1,479270000
2008-10-09,9261.69,9448.14,8579.19,8579.19,8579.19,436740000
2008-10-10,8568.67,8901.28,7882.51,8451.19,8451.19,674920000
2008-10-13,8462.42,9427.99,8462.18,9387.61,9387.61,399290000
2008-10-14,9388.97,9794.37,9085.43,9310.99,9310.99,412740000
2008-10-15,9301.91,9308.76,8530.12,8577.91,8577.91,374350000
2008-10-16,8577.04,9013.27,8197.67,8979.26,8979.26,422450000
2008-10-17,8975.35,9281.12,8718.25,8852.22,8852.22,360600000
2008-10-20,8852.3,9266.63,8852.22,9265.43,9265.43,241400000
2008-10-21,9262.8,9284.55,9004.27,9033.66,9033.66,231160000
2008-10-22,9027.84,9027.84,8335.3,8519.21,8519.21,348840000
2008-10-23,8519.77,8795.99,8243.55,8691.25,8691.25,340740000
2008-10-24,8683.21,8683.21,8187.48,8378.95,8378.95,335680000
2008-10-27,8375.92,8599.1,8143.59,8175.77,8175.77,281180000
2008-10-28,8178.72,9082.08,8174.73,9065.12,9065.12,372160000
2008-10-29,9062.33,9363.32,8890.29,8990.96,8990.96,316230000
2008-10-30,,,,,,
